Release date,Title,Genre,Runtime,Language,Type,Rating,Original Index
2018-11-30,A Christmas Prince: The Royal Wedding,Christmas romantic comedy,0 days 01:33:00,English,Feature films,5.3,192
2018-11-30,Angela's Christmas,Animation,0 days 00:30:00,English,Specials,,193
2018-11-30,Rajma Chawal,Comedy drama,0 days 01:58:00,Hindi,Feature films,5.7,194
2018-12-07,5 Star Christmas,Christmas comedy,0 days 01:35:00,Italian,Feature films,,195
2018-12-07,Mowgli: Legend of the Jungle,Adventure,0 days 01:44:00,English,Feature films,6.5,196
2018-12-07,ReMastered: Who Killed Jam Master Jay?,Documentary,0 days 00:58:00,English,Documentaries,6.5,197
2018-12-07,The American Meme,Documentary,0 days 01:38:00,English,Documentaries,6.1,198
2018-12-12,"Out of Many, One",Documentary,0 days 00:34:00,English,Documentaries,5.8,199
2018-12-14,Roma,Drama,0 days 02:14:00,Spanish,Feature films,7.7,200
2018-12-16,Springsteen on Broadway,One-man show,0 days 02:33:00,English,Specials,8.5,201
2018-12-21,Bird Box,Psychological thriller,0 days 02:04:00,English,Feature films,6.6,202
2018-12-21,Porta dos Fundos: The Last Hangover[a],Comedy,0 days 00:44:00,Portuguese,Specials,,203
2018-12-21,Struggle: The Life and Lost Art of Szukalski,Documentary,0 days 01:45:00,English,Documentaries,7.9,204
2018-12-31,Taylor Swift: Reputation Stadium Tour[a],Concert film,0 days 02:05:00,English,Specials,,205
2019-01-04,Lionheart,Drama,0 days 01:34:00,English,Feature films,,206
2019-01-11,ReMastered: Massacre at the Stadium,Documentary,0 days 01:04:00,English,Documentaries,7.3,207
2019-01-11,The Last Laugh,Comedy,0 days 01:38:00,English,Feature films,5.7,208
2019-01-18,Fyre: The Greatest Party That Never Happened,Documentary,0 days 01:37:00,English,Documentaries,,209
2019-01-18,IO,Science fiction,0 days 01:36:00,English,Feature films,4.8,210
2019-01-18,Soni,Crime drama,0 days 01:37:00,Hindi,Feature films,,211
2019-01-25,Polar,Action,0 days 01:58:00,English,Feature films,6.3,212
2019-02-01,Velvet Buzzsaw,Dark comedy horror,0 days 01:52:00,English,Feature films,5.7,213
2019-02-08,High Flying Bird,Sports-drama,0 days 01:30:00,English,Feature films,6.2,214
2019-02-08,Kevin Hart's Guide to Black History,Variety show,0 days 01:03:00,English,Specials,5.6,215
2019-02-08,ReMastered: The Two Killings of Sam Cooke,Documentary,0 days 01:04:00,English,Documentaries,7.2,216
2019-02-12,Period. End of Sentence.,Documentary,0 days 00:26:00,Hindi,Documentaries,,217
2019-02-22,Firebrand,Drama,0 days 01:56:00,Marathi,Feature films,5.2,218
2019-02-22,Paddleton,Comedy drama,0 days 01:29:00,English,Feature films,7.2,219
2019-02-22,Paris Is Us,Romance drama,0 days 01:24:00,French,Feature films,4.6,220
2019-03-08,Juanita,Drama,0 days 01:30:00,English,Feature films,6.0,221
2019-03-08,Walk. Ride. Rodeo.,Biopic,0 days 01:39:00,English,Feature films,6.4,222
2019-03-13,Triple Frontier,Action-adventure,0 days 02:05:00,English,Feature films,6.5,223
2019-03-21,Antoine Griezmann: The Making of a Legend[a],Documentary,0 days 01:00:00,French,Documentaries,,224
2019-03-22,ReMastered: The Miami Showband Massacre,Documentary,0 days 01:10:00,English,Documentaries,6.9,225
2019-03-22,The Dirt,Biographical comedy,0 days 01:48:00,English,Feature films,7.0,226
2019-03-29,15 August,Comedy drama,0 days 02:04:00,Marathi,Feature films,5.8,227
2019-03-29,The Highwaymen,Crime drama,0 days 02:12:00,English,Feature films,6.9,228
2019-03-29,The Legend of Cocaine Island,Documentary,0 days 01:27:00,English,Documentaries,,229
2019-04-05,Unicorn Store,Comedy drama,0 days 01:31:00,English,Feature films,,230
2019-04-12,The Perfect Date,Teen romantic comedy,0 days 01:30:00,English,Feature films,5.8,231
2019-04-12,Who Would You Take to a Deserted Island?,Drama,0 days 01:33:00,Spanish,Feature films,5.3,232
2019-04-17,Homecoming: A Film by Beyoncé,Documentary,0 days 02:17:00,English,Documentaries,7.6,233
2019-04-19,Brené Brown: The Call to Courage,Documentary,0 days 01:16:00,English,Documentaries,7.7,234
2019-04-19,Music Teacher,Drama,0 days 01:41:00,Hindi,Feature films,6.2,235
2019-04-19,Someone Great,Romantic comedy,0 days 01:32:00,English,Feature films,6.2,236
2019-04-20,Grass Is Greener,Documentary,0 days 01:37:00,English,Documentaries,,237
2019-04-26,ReMastered: Devil at the Crossroads,Documentary,0 days 00:48:00,English,Documentaries,7.0,238
2019-05-01,Knock Down the House,Documentary,0 days 01:27:00,English,Documentaries,7.4,239
2019-05-03,All in My Family,Documentary,0 days 00:39:00,English,Documentaries,6.8,240
2019-05-03,Despite Everything,Comedy,0 days 01:18:00,Spanish,Feature films,5.4,241
2019-05-03,The Last Summer,Teen romantic comedy,0 days 01:49:00,English,Feature films,5.5,242
2019-05-10,Wine Country,Comedy,0 days 01:43:00,English,Feature films,5.5,243
2019-05-14,Still Laugh-In: The Stars Celebrate,Variety show,0 days 01:00:00,English,Specials,5.2,244
2019-05-16,Good Sam,Drama,0 days 01:30:00,English,Feature films,5.8,245
2019-05-17,ReMastered: The Lion's Share,Documentary,0 days 01:24:00,English,Documentaries,,246
2019-05-17,See You Yesterday,Science fiction,0 days 01:27:00,English,Feature films,5.3,247
2019-05-22,A Tale of Two Kitchens,Documentary,0 days 00:30:00,Spanish,Documentaries,6.3,248
2019-05-23,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,0 days 00:30:00,English,Specials,,249
2019-05-24,After Maria,Documentary,0 days 00:37:00,Spanish,Documentaries,4.9,250
2019-05-24,Rim of the World,Science fiction adventure,0 days 01:39:00,English,Feature films,5.2,251
2019-05-24,The Perfection,Horror thriller,0 days 01:30:00,English,Feature films,,252
2019-05-31,Always Be My Maybe,Romantic comedy,0 days 01:42:00,English,Feature films,6.7,253
2019-05-31,Chopsticks,Comedy,0 days 01:40:00,Hindi,Feature films,6.5,254
2019-06-07,Elisa & Marcela,Biographical romance,0 days 01:58:00,Spanish,Feature films,6.6,255
2019-06-07,The Black Godfather,Documentary,0 days 01:58:00,English,Documentaries,7.5,256
2019-06-12,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Documentary,0 days 02:22:00,English,Documentaries,,257
2019-06-14,Life Overtakes Me,Documentary,0 days 00:40:00,English,Documentaries,6.5,258
2019-06-14,Murder Mystery,Comedy mystery,0 days 01:37:00,English,Feature films,6.0,259
2019-06-19,Beats,Coming-of-age drama,0 days 01:50:00,English,Feature films,6.7,260
2019-06-19,The Edge of Democracy,Documentary,0 days 02:01:00,Portuguese,Documentaries,7.3,261
2019-06-27,Anima,Musical,0 days 00:15:00,English,Shorts,7.6,262
2019-07-10,Parchis: The Documentary,Documentary,0 days 01:46:00,Spanish,Documentaries,,263
2019-07-12,Point Blank,Action,0 days 01:26:00,English,Feature films,5.7,264
2019-07-16,"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,0 days 00:32:00,English,Specials,5.8,265
2019-07-18,Secret Obsession,Thriller,0 days 01:37:00,English,Feature films,4.5,266
2019-07-24,The Great Hack,Documentary,0 days 01:54:00,English,Documentaries,7.0,267
2019-07-31,The Red Sea Diving Resort,Spy thriller,0 days 02:10:00,English,Feature films,6.6,268
2019-08-02,Otherhood,Comedy,0 days 01:40:00,English,Feature films,6.1,269
2019-08-05,Enter the Anime,Documentary,0 days 00:58:00,English,Documentaries,2.6,270
2019-08-09,Jaoon Kahan Bata Ae Dil,Romantic drama,0 days 01:46:00,Hindi,Feature films,,271
2019-08-09,Rocko's Modern Life: Static Cling,Animation / Comedy,0 days 00:45:00,English,Specials,6.9,272
2019-08-16,Invader Zim: Enter the Florpus,Animation / Science fiction,0 days 01:11:00,English,Feature films,,273
2019-08-16,Sextuplets,Comedy,0 days 01:39:00,English,Feature films,4.5,274
2019-08-21,American Factory,Documentary,0 days 01:50:00,English,Documentaries,7.4,275
2019-08-21,American Factory: A Conversation with the Obamas,Aftershow / Interview,0 days 00:10:00,English,Shorts,5.1,276
2019-08-28,Travis Scott: Look Mom I Can Fly,Documentary,0 days 01:25:00,English,Documentaries,6.3,277
2019-08-29,Falling Inn Love,Romantic comedy,0 days 01:38:00,English,Feature films,5.7,278
2019-08-30,Back to School,Comedy,0 days 01:23:00,French,Feature films,5.3,279
2019-09-10,Evelyn,Documentary,0 days 01:36:00,English,Documentaries,,280
2019-09-13,"Hello, Privilege. It's Me, Chelsea",Documentary,0 days 01:04:00,English,Documentaries,4.9,281
2019-09-13,Tall Girl,Teen comedy drama,0 days 01:42:00,English,Feature films,5.2,282
2019-09-15,Los Tigres del Norte at Folsom Prison,Documentary,0 days 01:04:00,Spanish,Documentaries,7.0,283
2019-09-20,Between Two Ferns: The Movie,Comedy,0 days 01:22:00,English,Feature films,6.1,284
2019-09-25,Birders,Documentary,0 days 00:37:00,Spanish,Documentaries,6.4,285
2019-09-27,In the Shadow of the Moon,Science fiction thriller,0 days 01:55:00,English,Feature films,6.2,286
2019-09-27,Sturgill Simpson Presents: Sound & Fury,Animation / Musical,0 days 00:41:00,English,Specials,,287
2019-10-04,In the Tall Grass,Horror,0 days 01:41:00,English,Feature films,5.5,288
2019-10-11,El Camino: A Breaking Bad Movie,Crime drama,0 days 02:02:00,English,Feature films,7.3,289
2019-10-11,Fractured,Thriller,0 days 01:40:00,English,Feature films,6.5,290
2019-10-11,The Forest of Love,Crime thriller,0 days 02:31:00,Japanese,Feature films,6.3,291
2019-10-12,Street Flow,Drama,0 days 01:36:00,French,Feature films,6.4,292
2019-10-16,Ghosts of Sugar Land,Documentary,0 days 00:21:00,English,Documentaries,5.5,293
2019-10-18,Eli,Horror,0 days 01:38:00,English,Feature films,5.8,294
2019-10-18,Seventeen,Coming-of-age comedy drama,0 days 01:39:00,Spanish,Feature films,7.2,295
2019-10-18,Tell Me Who I Am,Documentary,0 days 01:25:00,English,Documentaries,7.6,296
2019-10-18,The Laundromat,Biographical comedy drama,0 days 01:36:00,English,Feature films,6.3,297
2019-10-18,Upstarts,Comedy drama,0 days 01:52:00,Hindi,Feature films,6.7,298
